title,workstream,task_type,activations,owner,due_amount,due_unit,due_ref,start_amount,start_unit,start_ref,recurrence,notes
Client debrief call,Client comms & calls,Client,All events,Beth,1,weeks,after event,,,,ongoing,Continues until all client meetings are completed.
ESM tracks top target intros with clients,Client comms & calls,Client,All events,Beth + ESMs,0,days,on event date,,,,none,ESMs track introductions between clients and their top targets on event day. Ensures each client connects with their key targets.
"ESM introductions, tracking on-site",Client comms & calls,Client,All events,Beth + ESMs,0,days,on event date,,,,none,ESMs use the trackers to ensure each client meets their tier 1/2 targets onsite. All ESMs give simultaneous 5-minute personal warnings for session transitions.
Add client top 20 targets to internal hub,Invite campaign,Internal,All events,TBD,6,weeks,before event,,,,none,Add one tab per client to the internal hub with their top 20 target list based on the top 20 target exercise.
Invite campaign wave management,Invite campaign,Comms,All events,JG,6,weeks,before event,6,weeks,before event,weekly,Invite campaign must be planned and set up 6 weeks before the event. Runs weekly through the event — sometimes last-minute invites go out the week of the event.
Send invites to nominated top targets,Invite campaign,Comms,All events,TBD,6,weeks,before event,6,weeks,before event,ongoing,"858-specific invite campaign for top 20 nominated targets. Not part of Informa or ICR invite process. Send as needed — ongoing maintenance, not strict weekly cadence."
Build Notion master attendee list,Client dossiers,Content,All events,Christina,4,weeks,before event,,,,none,"Enriched master list. Per attendee: full name, job title, brand, LinkedIn, headshot, brand facts (2-3 sentences on education/past roles), buyer intent (own column from registration), registration date + email. Distinct from internal hub."
Build client dossier attendee list,Client dossiers,Content,All events,Christina,4,weeks,before event,,,,none,"Per-client attendee list, separate from master. Copy operator info from master minus buyer intent, add buyer-intent column showing ONLY intents matching that client's solution. Never expose other clients' info or non-matching intents. Flag newly added attendees since last refresh."
Create copy for client dossier,Client dossiers,Content,All events,Christina + Fernando,4,weeks,before event,,,,none,"Draft all copy for the client dossier page: intro, agenda, team bios, contextual copy. Created before building the dossier page."
Build client dossier page in Notion,Client dossiers,Content,All events,Christina,4,weeks,before event,,,,none,"Build full dossier page including: intro, agenda, copy, team bios, maps, priority targets, full attendee list. One Notion page per client."
QA client dossier,Client dossiers,Content,All events,Christina,4,weeks,before event,,,,none,"CRITICAL QA before link goes live. Checklist: all links live and working, each client has only their own attendee list (no cross-client data), no spelling errors, all Notion pages published with correct sharing, shareable link confirmed working, client-specific data (buyer intents, GRIP schedule) verified accurate."
Publish client dossier + attendee list; set share permissions,Client dossiers,Internal,All events,Christina,4,weeks,before event,,,,none,Publish both the client dossier page and attendee list in Notion. Set share permissions.
Create Rebrandly link with clean slug per client dossier,Client dossiers,Internal,All events,Christina,4,weeks,before event,,,,none,"Copy the Notion share link into Rebrandly. Create a clean, readable slug for each client dossier."
Run prioritization exercise with clients,Client dossiers,Client,All events,Christina,3,weeks,before event,,,,none,"Clients complete after receiving dossier live email. Results inform seating chart, room assignments, and ESM trackers."
Update dossier attendee list,Client dossiers,Content,All events,Christina,4,weeks,before event,4,weeks,before event,ongoing,Starts when dossier is live. Updated daily or multiple times per week as registrations and cancellations occur.
"Add seating, table assignments, room assignments, and GRIP schedule to dossier",Client dossiers,Content,Luncheon / Workshop / GRIP Meetings,Christina,1,weeks,before event,,,,none,"Once finalized, add seating and room assignments to the client dossier."
Final review of dossier attendee list + send updated dossier link,Client dossiers,Internal,All events,Christina,1,days,before event,,,,none,Verify the attendee list is as current as possible before doors open. Send updated dossier link to clients if changes were made.
Book hotels for on-site team,On-site team logistics,Internal,All events,Christina,4,weeks,before event,,,,none,"Book accommodations for Fern, Christina, and any other on-site team. Per Informa partnership terms where applicable. Info-gathering may happen earlier; actual booking typically ~1 month out. Dependent on receiving hotel link from Informa/event organizer."
Book team flights,On-site team logistics,Internal,All events,Christina,6,weeks,before event,,,,none,Each team member books their own flight. Christina sends reminders and collects flight information from all on-site team members.
Book team dinner reservations,On-site team logistics,Internal,All events,Fernando,2,days,before event,,,,none,"Book team dinner for the night before (or night of) the event. Confirm headcount, restaurant, and reservation details."
Arrange ground transportation + car rental,On-site team logistics,Internal,All events,Fernando,2,weeks,before event,,,,none,"Confirm car rental, ride share logistics, or airport transportation for on-site team. Especially critical for multi-venue days or late-night events."
Coordinate on-site shipping + last-minute supply run,On-site team logistics,Internal,All events,Fernando + Christina,1,weeks,before event,,,,none,"Confirm any shipped items are on track to venue. Identify any last-minute supplies needed (e.g., espresso beans, printed materials, office supplies). Assign who picks them up on-site."
Send team dress code + what to bring brief,On-site team logistics,Internal,All events,Christina,3,days,before event,,,,none,"Send to all on-site team: dress code (uniform look), what to bring (badge, materials, chargers, day-of supplies), schedule, and final reminders. Ensures everyone looks cohesive and is prepared."
Create internal team dossier,On-site team logistics,Internal,All events,Christina,3,days,before event,,,,none,"Internal-only document for the on-site team. Includes dress code, what to bring, day-of logistics, schedule, and key contacts."
Set up day-of team communication channel,On-site team logistics,Internal,All events,Fernando,1,days,before event,,,,none,Set up and brief the team on the day-of communication channel. Ensure all on-site staff are connected.
Remind on-site team to submit expenses to Fernando via Expensify,On-site team logistics,Internal,All events,Christina,1,weeks,after event,,,,none,Remind all on-site team members to submit their event expenses through Expensify to Fernando.
Pull prioritization data into prioritization spreadsheet,Seating & room assignments,Event logistics,Luncheon / Workshop,JG,2,weeks,before event,3,weeks,before event,none,"Compile each client's tier 1/2, current customers, detractors from their dossier into one spreadsheet for JG."
Build table/room assignments,Seating & room assignments,Event logistics,Luncheon / Workshop,JG,10,days,before event,2,weeks,before event,none,JG uses Claude. Rule: each client table = 1-2 tier 1/2 targets + 1 current customer + 0 detractors. Top targets sit left/right of client; current customer across.
QA table/room assignments,Seating & room assignments,Internal,Luncheon / Workshop,TBD,10,days,before event,,,,none,QA review of all table and room assignments before finalizing.
Review draft assignments with clients,Seating & room assignments,Event logistics,Luncheon / Workshop,JG,1,weeks,before event,,,,none,JG may walk clients through draft assignments on the deal strategy call and adjust on feedback.
Build ESM trackers,Seating & room assignments,Event logistics,All events,Christina,3,days,before event,,,,none,"Per client: tier 1/2 targets, whether they share a table/room, gaps, and GRIP schedule overlap. Sent to Nic for onsite ESM use."
Input check-in data into seating automation tool (onsite),Seating & room assignments,Event logistics,Luncheon / Workshop,Fernando,0,days,on event date,,,,none,Tool ingests prioritization data + check-in list and regenerates the seating plan if threshold hit (~10+ no-shows). JG approves any day-of reassignments.
Assign seating assignments during event rehearsal,Seating & room assignments,Event logistics,Luncheon / Workshop,Fernando + JG,1,days,before event,,,,none,"During the venue walkthrough/event rehearsal, physically walk the space to confirm table layout and finalize seating placement."
Draft program guide content,Program guide,Content,All events,Fernando,3,weeks,before event,,,,none,Fern runs first draft through Claude. Sends to JG + Marty for review and visual direction.
JG + Marty review program guide content,Program guide,Internal,All events,JG + Marty,2,weeks,before event,,,,none,JG and Marty review and approve content draft. Send approval to Christina to begin Figma build.
Build program guide in Figma,Program guide,Content,All events,Christina,2,weeks,before event,,,,none,"Christina builds from template. Includes team, attendees + headshots, maps, guest-speaker spotlights, what to expect."
Review cycle — JG + Marty review program guide,Program guide,Internal,All events,JG + Marty + Christina,1,weeks,before event,,,,none,JG and Marty review the built guide. Christina makes edits.
QA program guide before PDF export,Program guide,Internal,All events,Christina + JG,5,days,before event,,,,none,"QA checklist: all headshots correct, all names spelled correctly, all links working, URL slug correct, no incorrect client cross-references, event dates and venue correct."
Export program guide PDF + convert to shareable link,Program guide,Content,All events,Christina + JG,5,days,before event,,,,none,Christina exports PDF after QA sign-off. JG converts to shareable link (Bitly or similar). Link goes into the KBYG email.
QA know before you go email copy,Program guide,Comms,All events,Christina,4,days,before event,,,,none,"CRITICAL QA: correct program guide link per client (no cross-client link mixing), all headshots render, email renders across Gmail/Outlook/Apple Mail."
Send know before you go email,Program guide,Comms,All events,TBD + JG,3,days,before event,,,,none,Carries the program guide PDF shareable link. Sent to all operators + clients.
Confirm floor plan + capacity from venue/Informa,Vendors & logistics,Event logistics,Luncheon / Workshop / 858 House,Fernando,6,weeks,before event,,,,none,"Confirm floor capacity, table count, room setup with venue or Informa. Needed even when seating isn't assigned. Send floor plan and capacity numbers to JG — needed for seating planning and to size the invite campaign."
Menu preapproval in writing,Vendors & logistics,Vendors,Luncheon / 858 House / Evening networking,Fernando,8,weeks,before event,,,,none,Menu reviewed and approved in writing BEFORE venue contract is signed. Espresso required at every daytime 858 event — non-negotiable. Evening social menu also requires approval. Optional.
Food + beverage + espresso cart coordination,Vendors & logistics,Vendors,All events,Fernando,6,weeks,before event,,,,none,"Confirm F&B menu, catering vendor, espresso cart vendor and logistics. Source espresso beans from a client if possible. For 858 House: 9am-4pm snacks, 4pm-7pm cocktails. Lock contracts and confirm delivery times."
Furniture rental order,Vendors & logistics,Vendors,Luncheon / Workshop / 858 House,Fernando,6,weeks,before event,,,,none,Only if bringing furniture from outside the venue. Lock early — often has the earliest vendor deadline.
Collect tech stand requirements + send to client,Vendors & logistics,Event logistics,Presentation,Christina,4,weeks,before event,,,,none,Collect all technical requirements for the tech stand and send to the client.
JG sends design requests to Fernando + Christina,Vendors & logistics,Internal,Luncheon / Workshop / 858 House / Presentation,JG,3,weeks,before event,,,,none,"JG sends design briefs and content for signage, badges, and collateral."
Design signage + badges,Vendors & logistics,Content,Luncheon / Workshop / 858 House / Presentation,Christina,2,weeks,before event,3,weeks,before event,none,"Christina designs badges, note cards, directional signs, table number signs, and collateral. Fern approves and orders printing. Table number signs must be included in photographer's table shot brief."
Order + ship marketing collateral,Vendors & logistics,Vendors,Luncheon / Workshop / 858 House / Presentation,Fernando,1,weeks,before event,,,,none,Order all printed/physical marketing collateral and ship to venue.
On-site team picks up marketing collateral,Vendors & logistics,Event logistics,Luncheon / Workshop / 858 House / Presentation,On-site team,1,days,before event,,,,none,Confirm on-site pickup of all marketing collateral at the venue.
Swag order,Vendors & logistics,Vendors,All events,Fernando,4,weeks,before event,,,,none,"Source, brand, and deliver attendee swag to the venue."
Marketing materials for Informa submission,Vendors & logistics,Content,All events,Christina,3,weeks,before event,,,,none,Collect client logos + bios and 858 logo/bio. Submit to event or Informa per required deadlines.
Confirm AV + tech setup,Vendors & logistics,Event logistics,Luncheon / Workshop / 858 House / Presentation,Fernando,3,weeks,before event,,,,none,"858 owns: laptop, HDMI, cables. Purchase and test before event. Never rely on JG's personal equipment or venue Bluetooth. Confirm microphone/PA for any session with 10+ attendees."
Confirm Wi-Fi + internet access,Vendors & logistics,Event logistics,Luncheon / Workshop / 858 House / Presentation,Fernando,3,weeks,before event,,,,none,Confirm venue WiFi credentials and bandwidth for the day. Especially critical for 858 House lounge and any session using live data or real-time tools.
Hire extra staff,Vendors & logistics,Vendors,Luncheon / Workshop / 858 House,Fernando,3,weeks,before event,,,,none,"Check-in help, room flips, extra F&B staff as needed. For large-scale events. ESM and brand connector roles evaluated for consolidation."
Designate music lead + build playlists,Vendors & logistics,Event logistics,858 House,Fernando,5,days,before event,,,,none,"Assign music lead (owns the board all day — not a playlist on shuffle). Build moment-by-moment playlists: arrival/registration (warm, low BPM), session opens (fade to zero — 8-second rule), breaks (energy lift), networking, close. Download offline — no streaming dependency. 858-owned equipment (Sonos portable or JBL EON)."
Vendor parking + load-in/load-out coordination,Vendors & logistics,Vendors,All events,Fernando,1,weeks,before event,,,,none,"Confirm load-in times, dock access, vendor parking, and load-out schedule for all vendors (espresso, furniture, decor, staffing)."
Shipping logistics,Vendors & logistics,Vendors,All events,Fernando + Christina,2,weeks,before event,,,,none,"Coordinate shipping of swag, signage, badges, and any event materials to the venue. Confirm tracking and delivery confirmation."
Build run-of-show + designate transition leads,Vendors & logistics,Content,All events,Fernando + Christina,1,weeks,before event,2,weeks,before event,none,"Detailed minute-by-minute schedule. Include: where to be and when, designated transition lead per room (JG is NEVER the transition lead), ESM 5-minute warning protocol, and music cues. Also feeds the photography dossier."
Venue walkthrough + event rehearsal,Vendors & logistics,Event logistics,All events,Fernando,1,days,before event,,,,none,Physical walkthrough of ALL venues (day + evening). Fern walks everyone through the space. JG practices speeches. AV setups tested. Music tested.
Vendor invoice tracking + payment,Vendors & logistics,Vendors,All events,Christina,2,weeks,after event,1,weeks,after event,none,Track all outstanding vendor invoices post-event. Flag any that are overdue. Notify Fern to process payments per contract terms.
Create standard copy for handwritten note,Handwritten notes,Internal,Luncheon / Workshop,Christina + JG,4,weeks,before event,,,,none,Standard copy for attendees added too late for personalization or not prioritized by JG. Draft before starting spreadsheet.
Create handwritten notes spreadsheet,Handwritten notes,Internal,Luncheon / Workshop,Christina,4,weeks,before event,,,,ongoing,List all attendees including clients. Categorize by note type. Ongoing — update as registrations and cancellations come in.
Send handwritten notes spreadsheet to JG,Handwritten notes,Internal,Luncheon / Workshop,Christina,4,weeks,before event,,,,none,JG reviews and adds personalized note copy for key attendees.
Update handwritten notes spreadsheet,Handwritten notes,Internal,Luncheon / Workshop,Christina,4,weeks,before event,4,weeks,before event,ongoing,Ongoing updates as new registrants are added and cancellations occur.
Produce handwritten notes (run machine),Handwritten notes,Internal,Luncheon / Workshop,Christina,2,weeks,before event,,,,ongoing,Upload finalized spreadsheet to machine software. Run machine to produce notes and envelopes. Repeat as spreadsheet updates.
QA handwritten notes + envelopes,Handwritten notes,Internal,Luncheon / Workshop,Christina,1,weeks,before event,,,,none,Verify all notes are for confirmed attendees. Remove any canceled. Check all envelopes are correctly addressed.
Package + ship handwritten notes to venue/hotel,Handwritten notes,Event logistics,Luncheon / Workshop,Christina,1,weeks,before event,,,,none,"Ship via UPS to venue, hotel, or Fernando. Include extra blank cards, envelopes, and the machine pen for on-site additions."
On-site team picks up handwritten notes package,Handwritten notes,Event logistics,Luncheon / Workshop,On-site team,1,days,before event,,,,none,Confirm receipt of the handwritten notes package on-site.
Write handwritten notes for on-site new additions,Handwritten notes,Internal,Luncheon / Workshop,Christina,1,days,before event,,,,none,Write notes for attendees who registered after the shipment was sent.
Confirm handwritten notes against final attendee list,Handwritten notes,Internal,Luncheon / Workshop,Christina,1,days,before event,,,,none,Night before: final match of notes against most current attendee list. Remove notes for cancellations.
Place handwritten notes on seats/tables,Handwritten notes,Event logistics,Luncheon / Workshop,On-site team,0,days,on event date,,,,none,Place each note on the corresponding seat before doors open.
Set up Luma event page,Activation operations,Event logistics,Luncheon / Workshop / 858 House,Fernando,6,weeks,before event,,,,none,Luma event page must be live before invite campaign begins.
Monitor registration for daily Luma approval,Activation operations,Event logistics,Luncheon / Workshop / 858 House,Christina,4,weeks,before event,4,weeks,before event,ongoing,Review and approve new registrations in Luma daily. Starts when dossier goes live.
Send Luma reminder — day before + morning of event,Activation operations,Comms,Luncheon / Workshop / 858 House,Christina,1,days,before event,,,,none,"Send Luma reminder email the day before. Send again morning of event with location, start time, and check-in instructions."
Brief chief of staff,Activation operations,Internal,Luncheon / Workshop,Fernando,1,days,before event,,,,none,Brief Fern or designee on the day's plan.
Day-of check-in setup + live no-show tracking,Activation operations,Event logistics,Luncheon / Workshop,On-site team,0,days,on event date,,,,none,"Set up check-in (iPad/list, registration desk, escort). Capture walk-ins. Track no-shows in real time. Share final check-in list with Nic, JG, and Robin post-event."
Collect + send group insights post-activation,Activation operations,Internal,Luncheon / Workshop,Beth + ESMs,1,days,after event,,,,none,"Collect Granola recording, note card takeaways, and key themes from each workshop room. Send summary to the team."
Recruit + confirm workshop moderators,Activation operations,Event logistics,Workshop,Fernando + JG,4,weeks,before event,,,,none,Identify and confirm one moderator per room. 4 rooms = 4 moderators. Confirm availability on the content planning call.
Build workshop discussion prompts + content framework,Activation operations,Content,Workshop,JG,4,weeks,before event,,,,none,"Pre-set discussion questions, ranking exercises, group discussion format per table/room. Each sub-group nominates one person to share back. Questions approved by 858 in advance. Moderators need clear questions + expected outcomes."
Write moderator guide,Activation operations,Content,Workshop,JG,3,weeks,before event,,,,none,"Create one-page moderator guide per room: session objectives, discussion questions, timing, ground rules, what to do if conversation stalls."
Schedule + prepare moderator prep meeting,Activation operations,Internal,Workshop,JG,2,weeks,before event,,,,none,Schedule and prepare all materials for the moderator prep meeting.
Hold moderator prep meeting + distribute notes,Activation operations,Internal,Workshop,JG,2,weeks,before event,,,,none,Brief all moderators before event day. Distribute meeting notes and cheat sheet for each room.
Prep workshop room supplies + Granola setup,Activation operations,Event logistics,Workshop,Fernando + Christina,1,days,before event,,,,none,"Note cards, pens, name tents per seat, printed discussion prompts at each table. Set up Granola recording device in each room. Confirm furniture and room layout match the floor plan."
Write + approve sponsor intro scripts,Activation operations,Content,Luncheon,Fernando + JG,1,weeks,before event,,,,none,"JG delivers ALL sponsor introductions (30-second scripted reads). Format: operator problem first, one differentiating line, named customer in the room, named sponsor rep. Sponsors NEVER self-present. Scripts locked by 858 in advance."
Build + confirm housekeeping slides with client logos,Activation operations,Content,Luncheon,Fernando,2,weeks,before event,,,,none,Slides shown during remarks with client logos rotating on screen. Confirm screen/monitor availability with venue contact. Confidence monitor also confirmed.
Write + finalize JG opening remarks,Activation operations,Content,Luncheon / Workshop / Presentation,JG,1,weeks,before event,,,,none,"JG drafts opening remarks. Include: how clients are introduced (operator problem first — never self-presented), event framing, and client intro remarks. Multiple review rounds before final."
858 House venue + lounge setup coordination,Activation operations,Event logistics,858 House,Fernando,4,weeks,before event,,,,none,"Luxury lounge feel. Full bar, espresso, high-end F&B. Confirm room setup, furniture, and vendor logistics. Confirm lounge hours. Determine if tent needed."
858 House check-in + table reservations setup,Activation operations,Event logistics,858 House,Fernando,1,weeks,before event,,,,none,Build check-in system. Clients can reserve tables in advance for prospect meetings. Confirm escort and front-desk check-in staffing.
Confirm GRIP designate per partner,Activation operations,Event logistics,GRIP Meetings,Beth,4,weeks,before event,6,weeks,before event,none,Each partner assigns one person (designator) to log into GRIP and make selections for the company. Each client gets 10 meetings per company even with 2 attendees.
Client completes GRIP operator preference selections (top 40),Activation operations,Event logistics,GRIP Meetings,Beth,3,weeks,before event,4,weeks,before event,none,Designator logs into GRIP and selects up to 40 operators to meet. Cross-reference dossier tier 1/2 to help prioritize. Operators also make selections; GRIP matches on mutual interest.
Review preliminary GRIP meeting schedule + flag issues,Activation operations,Event logistics,GRIP Meetings,Beth,1,weeks,before event,,,,none,Informa publishes a draft schedule. Review each client's 10 meetings and flag conflicts or mismatches directly with Informa.
GRIP on-site support + ESM coverage,Activation operations,Event logistics,GRIP Meetings,Beth + ESMs,0,days,on event date,,,,none,"10 x 10-min back-to-back 1:1s per client. ESMs keep each client on time and equipped, flag no-shows, manage transitions between meetings."
Presentation: submit materials to Informa,Activation operations,Content,Presentation,Fernando + JG,2,weeks,before event,,,,none,"Submit presentation deck, speaker bio/headshot, and any supporting materials required by Informa. Confirm submission deadlines with Informa contact. For CREATE: submit Innovation Forum materials per Informa deadline."
Presentation: AV rehearsal + final speaker prep,Activation operations,Content,Presentation,JG + Fernando,1,days,before event,,,,none,"JG rehearses the presentation. Test AV, clicker, slide transitions. Confirm confidence monitor. Happens during the venue walkthrough day before."
Research + identify guest speaker candidates,Activation operations,Event logistics,Guest speaker,JG + Fernando,8,weeks,before event,,,,none,"JG, Fernando, and Marty identify who they want as outside speaker or guest draw. Fit criteria: relevant to operator audience, credible brand, willing to participate. Build shortlist."
Outreach to guest speaker candidates,Activation operations,Event logistics,Guest speaker,Fernando,6,weeks,before event,,,,none,"Fern leads outreach to speaker candidates. Confirm interest, availability, format, and any fee or reimbursement expectations. Escalate to JG for any high-profile targets."
Confirm + sign guest speaker agreement,Activation operations,Event logistics,Guest speaker,Fernando,5,weeks,before event,,,,none,"Sign agreement covering format, session length, travel/hotel reimbursement policy, invoice process, and any usage rights. Confirm speaker is aware this is not a self-promotional slot."
Guest speaker briefing meeting,Activation operations,Event logistics,Guest speaker,Fernando + Christina,3,weeks,before event,,,,none,"Meet with confirmed speaker to walk through: 858 event format, what their session looks like, how long, who the audience is, what we expect (not a sales pitch), what to expect from attendees, Q&A format."
Collect speaker bio + headshot,Activation operations,Event logistics,Guest speaker,Christina,1,weeks,before event,,,,none,"Collect speaker's bio, headshot, and preferred contact info. Used in: program guide (speaker spotlight section), post-event recap (guest speaker section), and post-event comms."
"Send speaker run-of-show, collateral + logistics brief",Activation operations,Event logistics,Guest speaker,Fernando + Christina,1,weeks,before event,,,,none,"Send speaker the run-of-show, all event collateral, and full logistics brief: on-site contact, arrival logistics, hotel booking details."
Coordinate speaker travel + hotel invoice reimbursement,Activation operations,Event logistics,Guest speaker,Fernando,2,weeks,after event,,,,none,"Speaker books their own travel and hotel. After the event, collect invoice(s) and process reimbursement per agreement terms. Confirm with Fern on payment timeline."
Research + vet photographers,Photography,Vendors,All events,Christina,8,weeks,before event,,,,none,Get 2-3 quotes per city. Review portfolios. Research walk-in headshot options for unregistered attendees. Consider past photographers by city.
Negotiate + sign photography contract,Photography,Vendors,All events,Christina,6,weeks,before event,,,,none,"Contract MUST include: same-day selects (20-40 edited photos by EOD or early next morning), 24-48 hr full gallery delivery SLA with rush fee pre-approved. Pre-event call if first time with 858."
Pay photography deposit,Photography,Vendors,All events,Fernando + Christina,6,weeks,before event,,,,none,Pay deposit per contract terms immediately upon signing.
Build photographer dossier + Robin dossier,Photography,Vendors,All events,Christina,1,weeks,before event,,,,none,"Build photographer's and Robin's dossiers. Includes run-of-show, event schedule, key shot list, contacts."
Send photographer dossier + Robin dossier (with updated attendee list),Photography,Vendors,All events,Christina,3,days,before event,,,,none,Send finalized dossiers to photographer and Robin with the most current attendee list.
Receive same-day photo selects,Photography,Vendors,All events,Christina,0,days,on event date,,,,none,Receive 20-40 edited photos from photographer by EOD or early next morning. Must include all table/room linking shots.
Organize same-day photo selects by table/room + send to TBD,Photography,Vendors,Luncheon / Workshop,Christina,1,days,after event,,,,none,Organize same-day selects by table or room. Send organized folder to TBD for table/room linking emails.
Receive full photo gallery from photographer,Photography,Vendors,All events,Christina,3,days,after event,,,,none,"Per contract SLA (3-7 business days). 200-1,000 photos: speakers, food/decor, venue, candids, team, all linking shots."
Send gallery + final check-in list to Robin,Photography,Vendors,All events,Christina,7,days,after event,,,,none,"Include full gallery, final check-in list with no-shows flagged, and updated attendee list (including any walk-in headshots researched) for Robin's reference when organizing."
Robin organizes photos by operator + delivers folders,Photography,Vendors,All events,Christina,10,days,after event,7,days,after event,none,Robin creates one folder per operator (50-200+ people). Takes approximately 2-4 business days. Christina confirms delivery and quality.
Approve Robin invoice + notify Fern for payment,Photography,Vendors,All events,Christina,10,days,after event,,,,none,"Christina approves Robin's invoice, then notifies Fern to process payment via Gusto. Robin paid $450/event for photo organization."
Pay photographer final invoice,Photography,Vendors,All events,Fernando + Christina,2,weeks,after event,,,,none,Process photographer's final payment per contract terms after gallery delivery confirmed.
Create email copy doc for linking emails,Table & room linking emails,Comms,Luncheon / Workshop,Christina,1,weeks,before event,,,,none,"Open doc pre-event; stage with placeholder table structure, LinkedIn link slots, and photo placeholders so JG can preview the format before event day."
JG edits + approves email copy for linking emails,Table & room linking emails,Comms,Luncheon / Workshop,JG,5,days,before event,,,,none,JG reviews and approves linking email copy before staging.
Stage mock linking email for JG approval,Table & room linking emails,Comms,Luncheon / Workshop,TBD,4,days,before event,,,,none,TBD stages a mock email. JG reviews and approves.
Receive same-day photo selects + organize by table/room,Table & room linking emails,Comms,Luncheon / Workshop,Christina,1,days,after event,,,,none,Same-day selects must include all table and room linking shots. Christina labels and drops linking shots into Google Drive folders organized by table/room.
Receive check-in list,Table & room linking emails,Comms,Luncheon / Workshop,Christina,1,days,after event,,,,none,Receive from on-site team.
"Send TBD the Google folders (organized photos, check-in list, Notion dossier for LinkedIns)",Table & room linking emails,Comms,Luncheon / Workshop,Christina,1,days,after event,,,,none,"Send TBD: organized operator photo folders, final check-in list, Notion dossier links for LinkedIn lookups."
