workstream,owner,applies_to,step_no,step,detail
GRIP Meetings,Nic,GRIP Meetings,1,What GRIP is,"GRIP is Informa's 1:1 speed-networking platform. Each 858 partner gets 10 back-to-back 10-minute meetings with qualified operators, scheduled by Informa based on mutual preference selections. The meetings run in a dedicated space (e.g. at B4, the Palos Verdes Terrace, 10:15am–12:45pm on Day 2)."
GRIP Meetings,Nic,GRIP Meetings,2,Confirm GRIP designator per partner,Each partner assigns one person — their 'preference designator' — who will log into GRIP and make meeting selections on behalf of the company. Nic confirms this with each client. Deadline: ~6 weeks out.
GRIP Meetings,Nic,GRIP Meetings,3,Operator preference selections open,Designator receives an email from Informa with login instructions. They log into GRIP and select up to 40 operators they want to meet with. Nic guides them to cross-reference their dossier tier 1/2 targets to prioritize strategically.
GRIP Meetings,Nic,GRIP Meetings,4,Mid-window review + refine selections,"A few days before the final deadline, the designator reviews mutual interest signals in GRIP and adjusts selections. Note: this window often falls during the July 4 holiday week — flag early and push clients to act before the break."
GRIP Meetings,Nic,GRIP Meetings,5,Final selection deadline,Hard cutoff for all partner preference selections. After this Informa builds the schedule. Nothing can be changed after this point.
GRIP Meetings,Nic,GRIP Meetings,6,View preliminary schedule + flag issues,Informa publishes a draft meeting schedule. Nic reviews each client's 10 scheduled meetings and flags any conflicts or mismatches directly with Informa before the schedule is finalized.
GRIP Meetings,Nic,GRIP Meetings,7,Add finalized schedule to client dossiers,"Christina adds each client's 10 confirmed GRIP meetings (operator name, company, meeting time) to their Notion dossier so they can research each person and prep talking points in advance."
GRIP Meetings,Nic,GRIP Meetings,8,ESM support on GRIP day,"ESMs ensure each client is at their assigned meeting table on time. 10 back-to-back 10-minute meetings is a fast pace — ESMs help navigate transitions, flag no-shows, and keep clients focused. ESM tracker (built by Christina) includes GRIP meeting overlap."
Project management cadence,Fern + Christina,All events,1,Project kickoff (~2 months out),Fern creates the initial project plan and holds all the workstreams early. Project kickoff meeting with full team.
Project management cadence,Fern + Christina,All events,2,Fern → Christina handoff (~1 month out),"Fern hands the project plan to Christina, who takes over day-to-day execution and accountability."
Project management cadence,Fern + Christina,All events,3,Monday — action items for the week,Christina sends the team their action items for the week.
Project management cadence,Fern + Christina,All events,4,Wednesday/Thursday — mid-week check-in,Christina sends a reminder for anything not yet completed that week.
Project management cadence,Fern + Christina,All events,5,Friday — look-ahead,Christina sends a preview of what's coming up the following week.
