title,workstream,task_type,activations,owner,due_amount,due_unit,due_ref,start_amount,start_unit,start_ref,recurrence,notes
Client prep call,Client workstreams,,All events,Nic,4,weeks,before event,6,weeks,before event,none,"~2 weeks out. Nic walks through full prep deck — logistics, expectations, event overview.  [orig timing: 4–6 weeks out]"
Client deal strategy call,Client workstreams,,All events,JG,4,weeks,before event,6,weeks,before event,none,"JG strategizes with client on talking points, target approach, and event goals.  [orig timing: 4–6 weeks out]"
Confirm GRIP preference designator per partner,Client workstreams,,GRIP Meetings,Nic,4,weeks,before event,6,weeks,before event,none,Each partner assigns one person (designator) who will log into GRIP and make meeting selections on behalf of the company.  [orig timing: 4–6 weeks out]
Operator preference selections open — choose top 40,Client workstreams,,GRIP Meetings,Nic,4,weeks,before event,6,weeks,before event,none,Designator receives email with instructions and logs into GRIP to select up to 40 operators they want to meet with.  [orig timing: 4–6 weeks out]
Review who's interested — refine operator preferences,Client workstreams,,GRIP Meetings,Nic,4,weeks,before event,6,weeks,before event,none,Mid-window check: review mutual interest signals in GRIP and adjust selections before the final deadline. Note: this often falls in a holiday week.  [orig timing: 4–6 weeks out]
Final deadline — select operator preferences,Client workstreams,,GRIP Meetings,Nic,4,weeks,before event,6,weeks,before event,none,"Hard cutoff for all partner preference selections in GRIP. After this, Informa builds the schedule.  [orig timing: 4–6 weeks out]"
View preliminary meeting schedule + flag issues,Client workstreams,,GRIP Meetings,Nic,4,weeks,before event,6,weeks,before event,none,Informa publishes a draft schedule. Review each client's 10 meetings and flag any conflicts or mismatches directly with Informa.  [orig timing: 4–6 weeks out]
Build master attendee list,Dossiers,,All events,Christina,3,weeks,before event,4,weeks,before event,none,"LinkedIn headshots, brand, job title, buyer intent. Updated multiple times/week.  [orig timing: 3–4 weeks out]"
Map buyer intents to clients,Dossiers,,All events,Christina,3,weeks,before event,4,weeks,before event,none,Match each operator's top 3 tech priorities to relevant client solutions.  [orig timing: 3–4 weeks out]
Create internal dossier,Dossiers,,All events,Christina,3,weeks,before event,4,weeks,before event,none,Internal-facing dossier for the 858 team — separate from client dossiers.  [orig timing: 3–4 weeks out]
Build per-client dossier in Notion,Dossiers,,All events,Christina,3,weeks,before event,4,weeks,before event,none,"Agenda, attendee table, buyer intents, map, team/client headshots. One per client.  [orig timing: 3–4 weeks out]"
Add finalized GRIP schedule to client dossier,Dossiers,,GRIP Meetings,Christina,3,weeks,before event,4,weeks,before event,none,"Once Informa publishes the preliminary schedule, add each client's confirmed 10 meetings into their Notion dossier so they can research and prep.  [orig timing: 3–4 weeks out]"
Run prioritization exercise with clients,Dossiers,,All events,Christina,3,weeks,before event,4,weeks,before event,none,"Clients nominate: 5 tier 1 targets, 5 tier 2, 10 current customers, 20 detractors.  [orig timing: 3–4 weeks out]"
Publish dossier + create Rebrandly link,Dossiers,,All events,Christina,3,weeks,before event,4,weeks,before event,none,Make Notion page public. Rename link in Rebrandly. Share with client.  [orig timing: 3–4 weeks out]
Table / room assignments (JG),Seating & room assignments,,Luncheon / Bird circles,JG,1,weeks,before event,2,weeks,before event,none,"JG uses top targets, current customers, detractors + capacity. May review on deal strategy call.  [orig timing: 1–2 weeks out]"
Add assignments to dossiers,Seating & room assignments,,Luncheon / Bird circles,Christina,1,weeks,before event,2,weeks,before event,none,"Once JG finalizes, Christina adds table/room assignments to each client's dossier.  [orig timing: 1–2 weeks out]"
Build ESM trackers,Seating & room assignments,,All events,Christina,1,weeks,before event,2,weeks,before event,none,Shows each client's tier 1/2 targets + table/room overlap and GRIP meeting schedule. Sent to Nic for onsite ESM use.  [orig timing: 1–2 weeks out]
Draft program guide content,Program guide & comms,,All events,Fernando,1,weeks,before event,2,weeks,before event,none,Fern runs first draft through Claude. Sends to JG + Marty for review and visual direction.  [orig timing: 1–2 weeks out]
Build program guide in Figma,Program guide & comms,,All events,Christina,1,weeks,before event,2,weeks,before event,none,Christina builds from template. Check-ins with JG + Marty. Export as PDF.  [orig timing: 1–2 weeks out]
Program guide / KBYG send,Program guide & comms,,All events,Chris + JG,1,weeks,before event,2,weeks,before event,none,JG links PDF. Sent 2–3 days before event to all operators + clients.  [orig timing: 1–2 weeks out]
Stage table / room linking emails,Program guide & comms,,Luncheon / Bird circles,Chris,1,weeks,before event,2,weeks,before event,none,Chris stages with placeholder photos + LinkedIn links so JG can preview format.  [orig timing: 1–2 weeks out]
Sign photographer contract,Photography brief,,All events,Fernando + Christina,1,weeks,before event,,,,none,"Vet and sign per city. Contract, hourly quote. Pre-event call if first time.  [orig timing: ~1 week out]"
Send photography dossier + run of show,Photography brief,,All events,Christina,1,weeks,before event,,,,none,"Due dates, shot list, run of show, full attendee headshots, contact info, maps.  [orig timing: ~1 week out]"
Brief Robin (photo organizer),Photography brief,,All events,Christina,1,weeks,before event,,,,none,Same dossier as photographer. Note when full gallery will be available — that's his start date.  [orig timing: ~1 week out]
Venue contract,Vendors & logistics,,Luncheon / Bird circles / 858 House,Fernando,,,varies,,,,none,Fern handles all venue contracts and coordination.  [orig timing: Varies]
Secure floorplan + AV details,Vendors & logistics,,Luncheon,Fernando,,,varies,,,,none,"Get floor plan, room setup, and AV sorted with the venue for the luncheon space.  [orig timing: Varies]"
Food & beverage + espresso cart,Vendors & logistics,,All events,Fernando,,,varies,,,,none,"Menu, vendors, contracts. Always include espresso cart. Source beans from a client if possible.  [orig timing: Varies]"
Furniture order,Vendors & logistics,,Luncheon / Bird circles / 858 House,Fernando,,,varies,,,,none,Only if bringing furniture from outside the venue.  [orig timing: Varies]
Hire staff / extra staffing,Vendors & logistics,,All events,Fernando,,,varies,,,,none,"Check-in help, room flips. Especially needed for large-scale events.  [orig timing: Varies]"
Swag for attendees,Vendors & logistics,,All events,Fernando,,,varies,,,,none,"Order and coordinate attendee swag — source, brand, and deliver to venue.  [orig timing: Varies]"
Moderator logistics,Vendors & logistics,,Bird circles,Fernando + Christina,,,varies,,,,none,"Coordinate moderator details for bird circles: travel, briefing, run of show.  [orig timing: Varies]"
Write opening remarks,Vendors & logistics,,Luncheon,JG,,,varies,,,,none,JG's remarks drafted ahead of the luncheon. Multiple check-in rounds before final.  [orig timing: Varies]
Finalize list of client attendees,Vendors & logistics,,All events,Christina,,,varies,,,,none,Separate from building the dossier — confirm final client-side attendee list.  [orig timing: Varies]
Designs & signage,Vendors & logistics,,All events,Fernando + Christina,,,varies,,,,none,"Christina designs (badges, note cards, collateral). Fern approves and orders.  [orig timing: Varies]"
Marketing materials,Vendors & logistics,,All events,Christina,,,varies,,,,none,"Client logos, bios, 858 logo/bio — collect and send to event as needed.  [orig timing: Varies]"
858 House setup coordination,Vendors & logistics,,858 House,Fernando,,,varies,,,,none,"Full bar, sushi, carving station, bra bar, check-in system, table reservation setup.  [orig timing: Varies]"
Final seat assignments (post check-in),Onsite,,Luncheon / Bird circles,JG,0,days,on event date,,,,none,"Input final check-in data (no-shows, walk-ins) into Claude project. Reassign if needed.  [orig timing: Day of event]"
858 House check-in + table management,Onsite,,858 House,Christina,0,days,on event date,,,,none,"Manage full check-in, table reservations, and room flow throughout the event.  [orig timing: Day of event]"
ESM introductions tracking,Onsite,,All events,Nic,0,days,on event date,,,,none,Nic + ESMs use trackers to ensure each client meets their tier 1/2 targets.  [orig timing: Day of event]
GRIP meeting support + ESM coverage,Onsite,,GRIP Meetings,Nic,0,days,on event date,,,,none,"ESMs ensure each client is at their GRIP meetings on time and equipped. 10 x 10-min back-to-back 1:1s — fast-paced, needs active support.  [orig timing: Day of event]"
Request same-day photo drop,Onsite,,All events,Christina,0,days,on event date,,,,none,20–40 edited photos by end of day or early next morning. Must include table/room linking shots.  [orig timing: Day of event]
Finalize attendee list by actual table / room,Table & room linking emails,,Luncheon / Bird circles,Chris,2,days,after event,,,,none,Chris organizes final list around confirmed seating (no-shows removed).  [orig timing: Within 48 hours]
Organize same-day photos for Chris,Table & room linking emails,,Luncheon / Bird circles,Christina,2,days,after event,,,,none,"Christina labels and drops photos into Google Drive, linked by table/room.  [orig timing: Within 48 hours]"
Final review + send linking emails,Table & room linking emails,,Luncheon / Bird circles,Chris + JG,2,days,after event,,,,none,"One email per table or room. Chris populates, JG final review, send within 48hrs.  [orig timing: Within 48 hours]"
Draft post-event recap using Claude,Recap,,All events,Christina,1,weeks,after event,,,,none,"Uses program guide, emails, event notes. Covers activations, attendance, speakers, spotlights.  [orig timing: ~1 week out]"
Nic adds reporting + feedback layer,Recap,,All events,Nic,1,weeks,after event,,,,none,"Buyer intent reporting, operator/client feedback, ESM debrief notes.  [orig timing: ~1 week out]"
JG + Marty final content review,Recap,,All events,JG + Marty,1,weeks,after event,,,,none,Final edit and approval before Webflow build.  [orig timing: ~1 week out]
Build visual recap in Webflow,Recap,,All events,Christina,1,weeks,after event,,,,none,"Once full gallery is available. Christina builds, JG + Marty review, then make live.  [orig timing: ~1 week out]"
Send live recap link to Chris,Recap,,All events,Christina,1,weeks,after event,,,,none,Chris includes the recap link in all one-on-one follow-up emails.  [orig timing: ~1 week out]
Receive full photo gallery,Photography & Robin,,All events,Christina,10,days,after event,3,days,after event,none,"Per contract (3–7 business days). Speakers, food/decor, venue, candids, team, linking photos.  [orig timing: 3–10 days out]"
Send gallery + updated attendee list to Robin,Photography & Robin,,All events,Christina,10,days,after event,3,days,after event,none,Include any walk-in headshots researched. Updated dossier included for reference.  [orig timing: 3–10 days out]
Confirm Robin delivery + send to Chris,Photography & Robin,,All events,Christina,10,days,after event,3,days,after event,none,Robin delivers organized folders (~2–4 days). Christina confirms and forwards to Chris.  [orig timing: 3–10 days out]
Approve Robin's invoice,Photography & Robin,,All events,Christina,10,days,after event,3,days,after event,none,Christina + Chris approve. Notify Fern to process payment.  [orig timing: 3–10 days out]
Open 1:1 follow-up copy doc,One-on-one follow-up,,All events,Christina,2,weeks,after event,,,,none,Christina creates structure + optional Claude template. JG + Chris own the copy.  [orig timing: ~2 weeks out]
Write personalized 1:1 copy,One-on-one follow-up,,All events,Chris + JG,2,weeks,after event,,,,none,JG + Chris write personalized follow-ups per operator. Includes event recap and personal note.  [orig timing: ~2 weeks out]
Deliver Robin's organized photos to Chris,One-on-one follow-up,,All events,Christina,2,weeks,after event,,,,none,Once Robin is done. Christina sends organized folder to Chris for photo attachment.  [orig timing: ~2 weeks out]
Final review + send 1:1 emails,One-on-one follow-up,,All events,Chris + JG,2,weeks,after event,,,,none,Chris confirms photos + copy. Sends individually with photo + post-event recap link.  [orig timing: ~2 weeks out]
Client debrief calls,Debrief,,All events,Nic,2,weeks,after event,1,weeks,after event,none,"Nic hosts per client — what worked, what to improve, overall satisfaction.  [orig timing: 1–2 weeks out]"
Log connections in Attio,Debrief,,All events,Christina,2,weeks,after event,1,weeks,after event,none,Log all new connections and introductions made at the event into Attio (CRM).  [orig timing: 1–2 weeks out]
Project wrap-up + template update,Debrief,,All events,Fernando + Christina,2,weeks,after event,1,weeks,after event,none,Close out project plan. Document lessons learned. Update templates for next event.  [orig timing: 1–2 weeks out]
